track_id,track_name,track_artist,instrumentalness,preview_url
4tWzXmibmahyKiPnDPKll1,Then I Go,Damma Beatz,0.878,https://p.scdn.co/mp3-preview/0741604f7cb63e14bf042c682b33160f41ecc980?cid=49789426e6c04428a2befbd3c2d79b02
6uU0Hu8oVk9gBihokcrDMH,One of These Days,Pink Floyd,0.846,https://p.scdn.co/mp3-preview/5a7ebf0af421b574a127c18f3bdd6333a1586e55?cid=49789426e6c04428a2befbd3c2d79b02
400QEuv1HXJcm7gGSya4fn,Taj,BLR,0.841,https://p.scdn.co/mp3-preview/28d864a791936617d9667aacd53885310baeca28?cid=49789426e6c04428a2befbd3c2d79b02
30pVSKdzBpZ9Np4Y2bJbFM,Fuego,Alok,0.812,https://p.scdn.co/mp3-preview/82e7449dd93791a4b7b8b51f23b6137bca024ffc?cid=49789426e6c04428a2befbd3c2d79b02
6NOjt6GYMuBGSuLuM2AXuB,Equilibrium,Leon Lour,0.952,https://p.scdn.co/mp3-preview/ec0f3511b9f143d20db8bf233f76f9552459acba?cid=49789426e6c04428a2befbd3c2d79b02
5WL6VbqrAs7qYsMkCvShoN,Carrousel - Short Version,NTO,0.882,https://p.scdn.co/mp3-preview/f168adef4555a53c8b7f22bc6a72b328b0c7ad3c?cid=49789426e6c04428a2befbd3c2d79b02
2cegJfpyiaWXclqj5HRsZG,Just Feels Tight,FISHER,0.874,https://p.scdn.co/mp3-preview/e90574f30ad3713a63d211b52f881a6a826802e0?cid=49789426e6c04428a2befbd3c2d79b02
6qCUUYdNXykbv2bG4qMZhR,Hamilton Way,Nokiaa,0.95,https://p.scdn.co/mp3-preview/2207e867d1776bafa164adf03cc80c40c5d2a73d?cid=49789426e6c04428a2befbd3c2d79b02
4dd9GGN2kHb1d28yGL578m,distance,Nohidea,0.822,https://p.scdn.co/mp3-preview/fa82831071bf78c1f4310b60fefe4fde8a0574ac?cid=49789426e6c04428a2befbd3c2d79b02
5XKZua8kqgHwcxeKiMIjge,AirplaneMode,BONES,0.787,https://p.scdn.co/mp3-preview/12b494202632f2aaa06ae538f62ec89f4969cac9?cid=49789426e6c04428a2befbd3c2d79b02
7gzOfclimlOrkmeMtpt2GN,Six Shooter,SNBRN,0.899,https://p.scdn.co/mp3-preview/0c3d3eeee63b7fc493cfe4d60802d71dfd591914?cid=49789426e6c04428a2befbd3c2d79b02
3d2yowRTcZpQgtkNFmFNiQ,Sphinx,Nora En Pure,0.822,https://p.scdn.co/mp3-preview/1df6befbe01ca9bc89f3a1639a945c2a7f2c59b8?cid=49789426e6c04428a2befbd3c2d79b02
1PRT1JHwc66PGya593WcMr,Rise Up,Mellowdy,0.929,https://p.scdn.co/mp3-preview/50713014c69555f8b87621a95a692fda136b52f3?cid=49789426e6c04428a2befbd3c2d79b02
50rEnYI8rLYgkzkpvqn240,Higher Calling,l'Outlander,0.958,https://p.scdn.co/mp3-preview/4749578f0c892b91fe92184351c48b6e0fdfd389?cid=49789426e6c04428a2befbd3c2d79b02
0B3H6se7MYo3D7BmzfvdVN,The Parade,Joel Corry,0.878,https://p.scdn.co/mp3-preview/9ac1263b0ce469720b2aa59f667d2bc808089441?cid=49789426e6c04428a2befbd3c2d79b02
0Cv7pfVZT1KjaqpylUsYQH,Vertigo,Curbi,0.803,https://p.scdn.co/mp3-preview/c52f1b7ae5e47a9cc6e55bd3d1c05825a42f90be?cid=49789426e6c04428a2befbd3c2d79b02
0F2BxpbxH8Yc3pLub48hrb,Pjanoo - Radio Edit,Eric Prydz,0.812,https://p.scdn.co/mp3-preview/26b7c18ec7fcdce5b77c9983fb6adc15129e3dc1?cid=49789426e6c04428a2befbd3c2d79b02
0pgEx0eQPVh3fDpJcP4BqL,Strobe - Radio Edit,deadmau5,0.886,https://p.scdn.co/mp3-preview/524a1ba45be3681a526ad5695e26f845d87500cd?cid=49789426e6c04428a2befbd3c2d79b02
2pWMpb8iHfGKsw9BmeUBOK,Feedback,Steve Aoki,0.961,https://p.scdn.co/mp3-preview/45d98504bc058ec051da0fc2865c1bec448aa679?cid=49789426e6c04428a2befbd3c2d79b02
5FUNk47hbkiL7mxLOo5CYc,Again & Again,Basto,0.947,https://p.scdn.co/mp3-preview/485e70f35dc2439424db5a6190c8c0dbd633f612?cid=49789426e6c04428a2befbd3c2d79b02
5YzaostcCu9Sgp5T7bFuX3,JUVENILE,The Blaze,0.829,https://p.scdn.co/mp3-preview/c72e9f273635b2bfd686342767c76ac253a331d9?cid=49789426e6c04428a2befbd3c2d79b02
5lHBNlQz5v5hQxFgvO4Aul,gurenge (demon slayer lofi),luvbyrd,0.928,https://p.scdn.co/mp3-preview/d2b9eaadac5e50921fab761a69643aedc38cf502?cid=49789426e6c04428a2befbd3c2d79b02
2CxjDTsUBmVlcMjjy2UETJ,ULTRA VIOLET,Thouxanbanfauni,0.926,https://p.scdn.co/mp3-preview/1c255eceb258abb55d6eb4f6d7e6867ab9aed72d?cid=49789426e6c04428a2befbd3c2d79b02
6eZVP2Demm1WupBpsfmxkx,Haku,Osoku,0.842,https://p.scdn.co/mp3-preview/a215dac3777ac337fe54e79abeac362ae5986e24?cid=49789426e6c04428a2befbd3c2d79b02
4OV0sRTFrZLXaZZ1sS9hLn,Sirius,The Alan Parsons Project,0.909,https://p.scdn.co/mp3-preview/85cd34274e18610abbf954019707ad66d0add421?cid=49789426e6c04428a2befbd3c2d79b02
6fEjYrBuHK64oNZeq2v76j,Can't Feel It,Toby Tranter,0.929,https://p.scdn.co/mp3-preview/28b9e153b460e60fdca656f9888b1125a36602ba?cid=49789426e6c04428a2befbd3c2d79b02
