track_id,track_name,track_artist,danceability,preview_url
1Ks2UH3WvpohH9q8b03NM7,Skank N Flex (with Scrufizzer),Wax Motif,0.969,https://p.scdn.co/mp3-preview/3ea6dda0cf4aa3f751934c033446b52d0a8fd369?cid=49789426e6c04428a2befbd3c2d79b02
5IEqZd6NOoVSWk4ehFdbgG,Twisted!,Aminé,0.872,https://p.scdn.co/mp3-preview/6d1a9d803818390d45a2812244036f385b82889b?cid=49789426e6c04428a2befbd3c2d79b02
6qMXubogFdMrvVMJwqATzd,Jordan Belfort,Wes Walker,0.86,https://p.scdn.co/mp3-preview/444973fd8ca88b6142c2fc42b7b6132e38d11468?cid=49789426e6c04428a2befbd3c2d79b02
1ioaV68BICIiSHpcqSUVHR,You Know,Funk Flex,0.891,https://p.scdn.co/mp3-preview/80492ed1e3a82f5eba0cd42bddcb84c8710ad9b6?cid=49789426e6c04428a2befbd3c2d79b02
3haS1MDe2Zh8jJaeiiymSt,Five Hours,Deorro,0.88,https://p.scdn.co/mp3-preview/34e230e463962fe98eaaf50f110c2ba2a5583014?cid=49789426e6c04428a2befbd3c2d79b02
2GQEM9JuHu30sGFvRYeCxz,Faded,ZHU,0.867,https://p.scdn.co/mp3-preview/4ae3b0157a796d19faa713e3826317258a9b3a79?cid=49789426e6c04428a2befbd3c2d79b02
1XRgIKC5TPwo7nWGyKqgG0,I Get the Bag (feat. Migos),Gucci Mane,0.89,https://p.scdn.co/mp3-preview/700bb411f240b0f7dad007ce522ca9b0dfe3b4ce?cid=49789426e6c04428a2befbd3c2d79b02
1uULQtJ8rbsX5TwjPpPc9Q,4L,21 Savage,0.879,https://p.scdn.co/mp3-preview/126a5fcd5b2472af4351106f000570d2c2fa6d49?cid=49789426e6c04428a2befbd3c2d79b02
15B3zlNGr8fYj60exaIPkl,CHICKENS (feat. EST Gee),Future,0.862,https://p.scdn.co/mp3-preview/31f8be3eca77ef3b48e71ac227e7c27657ea7cb3?cid=49789426e6c04428a2befbd3c2d79b02
5iHaOaMTQA3f24kD4oTR2x,Moment of Clarity,Future,0.862,https://p.scdn.co/mp3-preview/15d616ee4d717a8c08b0ddad409a8548d945eae0?cid=49789426e6c04428a2befbd3c2d79b02
3FigWC4Kgj0YB1tc6WMwJL,Moonwalking in Calabasas,DDG,0.915,https://p.scdn.co/mp3-preview/650bbe7cbdb273e64b73f8ebb3b3bcec9f95e259?cid=49789426e6c04428a2befbd3c2d79b02
2enPRFda84VE2wtI8c86Uf,Always Forever,Cults,0.174,https://p.scdn.co/mp3-preview/3887c5ec8242ce866b24154f24baa8128f8743d2?cid=49789426e6c04428a2befbd3c2d79b02
